number,multiplier,addend,total,exponent,target
363,76.88671875,762.12109375,28672,12,7
363,115.330078125,3191.181640625,45056,12,11
363,172.9951171875,6834.7724609375,69632,12,17
363,259.49267578125,12300.15869140625,106496,13,13
363,389.239013671875,22546.238037109375,163840,15,5
363,583.8585205078125,50203.3570556640625,262144,18,1
447,3,1,1342,1,671
447,4.5,2.5,2014,1,1007
447,6.75,4.75,3022,1,1511
447,10.125,8.125,4534,1,2267
447,15.1875,13.1875,6802,1,3401
447,22.78125,20.78125,10204,2,2551
447,34.171875,33.171875,15308,2,3827
447,51.2578125,51.7578125,22964,2,5741
447,76.88671875,79.63671875,34448,4,2153
447,115.330078125,127.455078125,51680,5,1615
447,172.9951171875,207.1826171875,77536,5,2423
447,259.49267578125,326.77392578125,116320,5,3635
447,389.239013671875,506.160888671875,174496,5,5453
447,583.8585205078125,775.2413330078125,261760,7,2045
